-10, 41, 3
-10, 41, 8
-10, 35, 3
-10, 35, 8
-16, 41, 3
-16, 41, 8
-16, 35, 3
-16, 35, 8
-59, 50, 3
-63, 50, 3
-59, 55, 8
-63, 55, 8
-35, 60, 3
-35, 67, 3
-35, 48, 8
-35, 53, 3
-62, 85, 3
-59, 81, 3
-59, 89, 3
-57, 85, 3
-52, 85, 3
-58, 65, 14
-63, 65, 14
-63.2, 75, 16
-63.2, 79, 16
-63.2, 83, 16
-42, 89.5, 19
-28, 67, 18
-32, 71, 20
-36, 75, 16
-40, 79, 10
-18, 55, 3
42, 166, 11
52, 177, 11.5
58, 177, 11.5
70, 177, 12
80, 177, 12
95, 177, 12
54, 165, 15
62, 157, 26
56, 160, 32
60, 163, 20
65, 173, 38
65, 167, 38
59, 173, 38
59, 167, 38
54, 169, 35
50, 167, 32
46, 170, 28
-12, 200, 4
-12, 192, 4
-12, 208, 4
-12, 216, 4
-12, 186, 4
-34, 263, 31, battery
-10, 258, 24
-20, 258, 28
-29, 262, 34
-29, 272, 40
-20, 290, 41
-20, 296, 41
-20, 302, 41
-14, 311, 40
-14, 311, 43
-14, 311, 46
-17, 312, 21
-19.5, 310.5, 21
-14.5, 310.5, 21
-17, 309, 21
-17, 306, 21
16, 254, 25
13, 254, 26
10, 254, 27
7, 254, 26
4, 254, 25
13, 252, 21
7, 252, 21
42, 303, 26
42, 303, 24
42, 303, 22
44, 303, 24
42, 301, 24
40, 303, 24
42, 305, 24
18, 303, 26
18, 303, 24
18, 303, 22
20, 303, 24
18, 301, 24
16, 303, 24
18, 305, 24
-2, 290, 45
-2, 290, 43
-2, 290, 47
12, 290, 47
18, 295, 51
18, 285, 33
13, 290, 29
23, 290, 37
34, 290, 33
40, 285, 37
48, 287, 39
48, 282, 39
48, 292, 39
43, 249, 39
33, 247, 42
24, 247, 46
9, 250, 46
6, 250, 46
3, 250, 46
0, 250, 46
-3, 250, 46
-6, 250, 46
-9, 250, 46
-12, 250, 46
-15, 250, 46
9, 255, 46
6, 255, 46
3, 255, 46
0, 255, 46
-3, 255, 46
-6, 255, 46
-9, 255, 46
-12, 255, 46
-15, 255, 46
-15, 252.5, 46
20, 298, 54
23, 301, 53
26, 304, 51
-28, 383, -13, battery
26, 318, 43
25.5, 325, 39
25, 335, 29
24.5, 345, 18
25, 355, 8
25.5, 365, -2
26, 375, -12
40, 389, -18
34, 395, -26
40, 401, -30
46, 395, -34
46, 395, -30
46, 395, -32
46, 395, -14
40, 401, -10
34, 401, -5
34, 389, -1
46, 389, 3
46, 401, 7
34, 401, 11
34, 389, 15
46, 389, 19
53, 396, 26
57, 392, 26
64, 387, 26
70, 385, 26
74, 385, 26
77, 390, 26
83, 393, 26
87, 397, 26
95, 373, 26
95, 367, 26
95, 361, 26
103, 367, 18
103, 361, 18
103, 355, 18
101, 353, 28
101, 347, 28
101, 341, 28
102, 380, 24
102, 374, 24
102, 368, 24
112, 333, 26
118, 335, 27
122, 335, 29
124, 335, 28
140, 339, 28
137, 342, 28 
